gid,건물1,건물2,건물3,도서관,민원행정기관,변압기,전기안전관리자,전기차,교통량,경제인구,주차면수,총점,Rank
다사73bb67ba,0.052631579,0,0,0.044776119,0,0.012195122,0,0,0,0.062616243,0,0.287466885,2049
다사85ab65ba,0.026315789,0,0,0,0,0,0,0,0,0,0,0.052631579,3148
다사82ab57ba,0.144736842,0,0,0.059701493,0,0,0,0,1.23E-06,0,0,0.349177638,1834
다사70ab68aa,0.026315789,0,0,0,0,0,0,0,0,0,0,0.052631579,3148
다사86aa66aa,0.078947368,0,0,0.149253731,0,0.008130081,0,0,0.012302383,0,0,0.339883315,1866
다사72aa57bb,0.263157895,0,0,0.089552239,0,0.016260163,0.033333333,0,0.106312977,0.008059516,0,0.960873177,861
다사74ab71ba,0.026315789,0,0,0.029850746,0,0.036585366,0,0,0,0.004029758,0.465116279,0.127127207,2732
다사82bb58ab,0.013157895,0,0,0,0,0.008130081,0,0,0,0.00216987,0,0.03878561,3280
다사63ba66bb,0,0,0,0,0,0,0,0,0,0,0,0,3568
다사76ab72ab,0.276315789,0,0,0.298507463,0,0.004065041,0.033333333,0,0.000959583,0,0,0.957123249,863
다사77ba60ab,0,0,0,0,0,0,0,0,0,0.003409795,0,0.006819591,3532
다사83ba69ab,0.197368421,0,0,0.014925373,0,0.008130081,0.033333333,0,0,0,0,0.517792297,1434
다사83ba51ba,0.052631579,0,0,0.044776119,0,0.004065041,0,0,1.35E-06,0.001859888,0,0.157826803,2543
다사81ab71ba,0,0,0,0,0,0,0,0,0,0.001859888,0,0.003719777,3567
다사69aa62ba,0.039473684,0,0,0.208955224,0,0.004065041,0,0,0.011087272,0.002789833,0,0.319721842,1931
다사85aa65ab,0.013157895,0,0,0.134328358,0,0.020325203,0,0,5.66E-06,0.017358958,0,0.215698592,2285
다사83ab69ba,0.013157895,0,0,0.223880597,0,0.016260163,0,0,0.000276945,0.012709237,0,0.292428914,2033
다사71ba66aa,0.223684211,0,0,0.28358209,0,0.016260163,0.033333333,0,0.000445204,0.008989461,0,0.866080003,952
다사76ba57bb,0,0,0,0,0,0,0,0,0,0,0,0,3568
다사75ab57ba,0.184210526,0,0,0.208955224,0,0.012195122,0,0,0.000283099,0.008369498,0,0.606876593,1293
다사69ba61bb,0.342105263,0,0,0.014925373,0,0.008130081,0,0,0,0.003719777,0,0.714705534,1124
다사72bb55aa,0.434210526,0,0,0.358208955,0,0.020325203,0.033333333,0,0.106087112,0.005579665,0,1.570288766,489
다사82ba64bb,0.184210526,0,0,0.194029851,0,0.012195122,0,0,0.004428656,0.122442653,0,0.828388645,988
다사73ba69ab,0.052631579,0,0,0,0,0,0,0,0,0.006819591,0,0.11890234,2771
다사65bb64aa,0,0,0,0.089552239,0,0.008130081,0.033333333,0,0.018816987,0,0,0.235316295,2213
다사71ab62aa,0.447368421,0,0,0.656716418,0,0.020325203,0.066666667,0.038461538,0.012548556,0.305951643,0.069767442,2.485701938,201
다사72ba72bb,0,0,0,0,0,0,0,0,0,0,0,0,3568
다사82aa70aa,0.026315789,0,0,0.029850746,0,0.004065041,0,0,0,0,0,0.086547366,2941
다사82bb50ab,0.026315789,0,0,0.029850746,0,0.008130081,0,0,2.54E-05,0.006509609,0,0.103682337,2854
다사85ba62aa,0.236842105,0,0,0.089552239,0,0.008130081,0,0,0.000459113,0.012399256,0,0.597083269,1310
다사85bb63ab,0.026315789,0,0,0.044776119,0,0.008130081,0,0,1.48E-06,0,0,0.105540734,2828
다사82ab61aa,0,0,0,0.014925373,0,0,0.066666667,0,0,0.042777433,0,0.30048024,1984
다사70ba64ab,0.039473684,0,0,0,0,0,0,0,0,0,0,0.078947368,2968
